Name,Age,Gender,Height,Occupation,Hobbies,Pets,Favorite Music Genre,Favorite Band or Artist,Preferred Movie/TV Genre,Physical Activity Frequency,Preferred Physical Activity,Vacation Type,Vacation Activities,Bucket List,Vices,Preferred Partner Gender,Preferred Physical Attributes,Preferred Age Range,Preferred Activity Level,Pet Friendly Importance,Child Friendly Importance,Deal Breakers
Katie Reed,35,Female,165 - 170 cm,Other,"Hiking, Gaming",Yes – Dog(s),"Rock, Jazz/Blues, Hip-Hop/Rap",Raymond Velez,Comedy,I’m not very active,"Yoga/Pilates, Running/Jogging",City breaks,"Hiking/Outdoor adventures, Swimming/Water sports","Starting your own business, Traveling to a new continent, Skydiving or bungee jumping","None of the above, Regular alcohol consumption",It doesn't matter,"Stylish/Well-groomed, Natural look",26–35,Moderately active,3,5,"Lack of ambition, Poor hygiene, Disrespectful behavior"
Stephen Kirby,23,Male,155 - 160 cm,Other,"Gaming, Music/Art, Reading, Cars/Motorbikes","No, but I would love to","Hip-Hop/Rap, Classical",Matthew Figueroa,"Comedy, Romance",Occasionally (once a week or less),"Running/Jogging, Yoga/Pilates","Countryside, Seaside","Hiking/Outdoor adventures, Relaxing on the beach",Learning a new language,Gambling,It doesn't matter,Natural look,46+,Not very active,2,4,"Lack of ambition, Poor hygiene, Smoking"
Benjamin Reynolds,25,Female,165 - 170 cm,IT Professional,"Sports, Cooking/Baking",Yes – Dog(s),Rock,Nathan Williams,"Science Fiction/Fantasy, Drama",Frequently (more than 3 times a week),Team sports,Adventure travel,"Relaxing on the beach, Sightseeing/Cultural tours","Running a marathon, Traveling to a new continent, Skydiving or bungee jumping",None of the above,Prefer not to say,"Natural look, Athletic build",46+,Moderately active,2,4,"Excessive drinking, Smoking, Lack of ambition"
Jasmine Finley,32,Non-binary,180 - 185 cm,Healthcare,Socializing,Yes – Multiple types,Hip-Hop/Rap,Melissa Scott,"Horror/Thriller, Romance",Frequently (more than 3 times a week),I don't do any physical activities,"Mountains, Adventure travel","Relaxing on the beach, Swimming/Water sports","Learning a new language, Starting your own business, Skydiving or bungee jumping",None of the above,Male,Athletic build,No preference,Moderately active,2,5,"Excessive drinking, None of the above"
Hannah Wang,40,Prefer not to say,155 - 160 cm,Business,"Socializing, Sports, Cars/Motorbikes, Gym, Traveling",Yes – Cat(s),"Hip-Hop/Rap, Classical",Dr. Christopher Moore,"Comedy, Horror/Thriller",Frequently (more than 3 times a week),Yoga/Pilates,Adventure travel,"Sightseeing/Cultural tours, Swimming/Water sports",Running a marathon,Regular alcohol consumption,Prefer not to say,Natural look,No preference,Not very active,3,2,Disrespectful behavior
William Hill,46,Non-binary,160 - 165 cm,IT Professional,Gym,No,"Manele, Electronic, Rock",David Johnson,"Science Fiction/Fantasy, Horror/Thriller",Frequently (more than 3 times a week),I don't do any physical activities,Adventure travel,"Hiking/Outdoor adventures, Sightseeing/Cultural tours","Learning a new language, Traveling to a new continent, Skydiving or bungee jumping",Smoking,Female,No strong preference,26–35,Highly active/Sporty,4,4,Smoking
Jose Foley,37,Prefer not to say,175 - 180 cm,Artist,Tv shows/Movies,No,"Pop, Hip-Hop/Rap, Manele",Stephanie Morgan,"Science Fiction/Fantasy, Action/Adventure, Horror/Thriller",Occasionally (once a week or less),"Swimming/Water sports, Yoga/Pilates","Mountains, Countryside",Sightseeing/Cultural tours,"Running a marathon, Learning a new language",Smoking,Prefer not to say,Stylish/Well-groomed,No preference,Moderately active,2,3,"Smoking, Poor hygiene, Disrespectful behavior"
Heather Davidson,26,Male,170 - 175 cm,Business,"Music/Art, Cooking/Baking, Gaming",Yes – Other pet(s),"Manele, Classical",Rhonda Hall,"Romance, Science Fiction/Fantasy, Comedy",Frequently (more than 3 times a week),"I don't do any physical activities, Team sports",Countryside,"Relaxing on the beach, Sightseeing/Cultural tours",Traveling to a new continent,"Prefer not to say, Regular alcohol consumption",It doesn't matter,No strong preference,18–25,Highly active/Sporty,3,5,"Excessive drinking, Poor hygiene"
James Price,38,Prefer not to say,160 - 165 cm,Teacher,"Gaming, Reading, Cars/Motorbikes, Music/Art, Gym",Yes – Multiple types,"Pop, Electronic, Classical",Jeffery Conrad,"Science Fiction/Fantasy, Romance",Regularly (2–3 times a week),Team sports,"No strong preference, Countryside","Hiking/Outdoor adventures, Relaxing on the beach","Learning a new language, Running a marathon",None of the above,Prefer not to say,Stylish/Well-groomed,No preference,Moderately active,3,5,"Poor hygiene, Lack of ambition"
Claudia Chavez,40,Male,160 - 165 cm,Engineer,"Socializing, Playing musical instruments, Cars/Motorbikes, Cooking/Baking","No, but I would love to",Pop,Kathryn Miller,"Science Fiction/Fantasy, Comedy, Horror/Thriller",I’m not very active,Swimming/Water sports,"City breaks, Mountains",Swimming/Water sports,"Traveling to a new continent, Running a marathon, Starting your own business",Gambling,Prefer not to say,Athletic build,26–35,Highly active/Sporty,3,1,"Disrespectful behavior, None of the above"
Dennis Russo,37,Prefer not to say,165 - 170 cm,Artist,"Gaming, Playing musical instruments, Traveling","No, but I would love to","Manele, Jazz/Blues, Hip-Hop/Rap",Scott Welch,"Action/Adventure, Drama, Science Fiction/Fantasy",Frequently (more than 3 times a week),Gym/Fitness classes,Seaside,"Swimming/Water sports, Relaxing on the beach","Running a marathon, Learning a new language","Smoking, None of the above",Female,"Stylish/Well-groomed, Athletic build",46+,Highly active/Sporty,1,1,"Disrespectful behavior, Smoking"
Michelle Miller,21,Male,175 - 180 cm,Artist,"Cars/Motorbikes, Playing musical instruments, Hiking, Cooking/Baking, Tv shows/Movies","No, but I would love to","Manele, Pop, Electronic",Christina Murphy,Horror/Thriller,Occasionally (once a week or less),"Running/Jogging, Gym/Fitness classes","Seaside, Adventure travel","Relaxing on the beach, Sightseeing/Cultural tours","Starting your own business, Skydiving or bungee jumping",Prefer not to say,It doesn't matter,Stylish/Well-groomed,26–35,Not very active,3,5,"Lack of ambition, Smoking"
Carlos Day,27,Prefer not to say,175 - 180 cm,Artist,"Playing musical instruments, Cars/Motorbikes, Sports, Reading, Gym",Yes – Cat(s),Electronic,Daniel Robinson,"Romance, Comedy, Action/Adventure",Regularly (2–3 times a week),"Running/Jogging, I don't do any physical activities",Mountains,"Sightseeing/Cultural tours, Swimming/Water sports","Running a marathon, Starting your own business, Learning a new language","Gambling, None of the above",Prefer not to say,"Athletic build, Natural look",No preference,Moderately active,2,3,"Disrespectful behavior, Excessive drinking"
Amanda Peters,41,Non-binary,200+ cm,IT Professional,"Cars/Motorbikes, Gym","No, but I would love to",Jazz/Blues,Kelli Robertson,"Romance, Drama, Horror/Thriller",Regularly (2–3 times a week),I don't do any physical activities,Seaside,Relaxing on the beach,"Learning a new language, Skydiving or bungee jumping",Prefer not to say,Prefer not to say,Natural look,26–35,Moderately active,3,1,"None of the above, Excessive drinking, Lack of ambition"
Kevin Bell,30,Female,165 - 170 cm,IT Professional,"Cooking/Baking, Hiking, Tv shows/Movies","No, but I would love to","Pop, Classical, Rock",Clifford Alvarez,"Science Fiction/Fantasy, Comedy, Romance",Regularly (2–3 times a week),"Swimming/Water sports, Gym/Fitness classes","No strong preference, Seaside",Hiking/Outdoor adventures,"Starting your own business, Traveling to a new continent, Skydiving or bungee jumping",Regular alcohol consumption,It doesn't matter,Natural look,No preference,Highly active/Sporty,3,2,"Smoking, Excessive drinking"
Bryan Roberts,24,Female,200+ cm,Healthcare,"Playing musical instruments, Cars/Motorbikes, Gym, Gaming",No,"Rock, Electronic",Russell Weiss,"Action/Adventure, Romance, Comedy",I’m not very active,"Yoga/Pilates, Swimming/Water sports","Mountains, Seaside",Swimming/Water sports,"Running a marathon, Learning a new language","Gambling, Prefer not to say",Prefer not to say,No strong preference,26–35,Highly active/Sporty,2,1,None of the above
Caleb Weber,19,Prefer not to say,190 - 195 cm,Healthcare,"Tv shows/Movies, Reading, Cars/Motorbikes, Traveling, Socializing",Yes – Multiple types,Rock,David Carroll,"Action/Adventure, Drama",I’m not very active,Yoga/Pilates,Mountains,Swimming/Water sports,"Skydiving or bungee jumping, Traveling to a new continent",None of the above,Male,Tall,18–25,No preference,4,3,"Disrespectful behavior, Lack of ambition, Poor hygiene"
Michael Bates,28,Female,150 - 155 cm,Healthcare,"Hiking, Music/Art, Playing musical instruments",No,"Electronic, Hip-Hop/Rap, Manele",Robert Huff,Drama,Frequently (more than 3 times a week),"Yoga/Pilates, Swimming/Water sports",No strong preference,Sightseeing/Cultural tours,"Running a marathon, Learning a new language",Prefer not to say,Male,"Stylish/Well-groomed, Natural look",26–35,Highly active/Sporty,5,3,Smoking
Evelyn Rogers,35,Prefer not to say,200+ cm,Engineer,"Socializing, Music/Art, Traveling, Sports, Gaming",Yes – Multiple types,Electronic,Jeremy Lindsey,"Science Fiction/Fantasy, Comedy, Romance",Regularly (2–3 times a week),"Running/Jogging, Team sports",Adventure travel,"Sightseeing/Cultural tours, Relaxing on the beach","Starting your own business, Traveling to a new continent","Regular alcohol consumption, None of the above",Prefer not to say,"No strong preference, Stylish/Well-groomed",18–25,Highly active/Sporty,4,3,"None of the above, Smoking, Disrespectful behavior"
Jonathan Mcintyre,47,Male,165 - 170 cm,Teacher,"Hiking, Traveling, Tv shows/Movies",No,Rock,Craig Rivera,"Action/Adventure, Horror/Thriller, Drama",Regularly (2–3 times a week),Yoga/Pilates,"City breaks, Mountains","Hiking/Outdoor adventures, Swimming/Water sports","Learning a new language, Skydiving or bungee jumping, Starting your own business",Smoking,It doesn't matter,"Natural look, No strong preference",18–25,No preference,3,3,"Excessive drinking, None of the above"
Angela Marshall,39,Female,200+ cm,IT Professional,"Cars/Motorbikes, Cooking/Baking, Gaming, Socializing, Reading",Yes – Multiple types,"Hip-Hop/Rap, Classical, Manele",Sean Davis,Horror/Thriller,I’m not very active,I don't do any physical activities,"Countryside, No strong preference","Hiking/Outdoor adventures, Sightseeing/Cultural tours",Running a marathon,Regular alcohol consumption,It doesn't matter,"Stylish/Well-groomed, Athletic build",46+,Moderately active,2,4,"Disrespectful behavior, Poor hygiene"
Karen Garcia,24,Non-binary,180 - 185 cm,Teacher,"Tv shows/Movies, Playing musical instruments","No, but I would love to","Classical, Hip-Hop/Rap, Jazz/Blues",Jennifer Rivera,Action/Adventure,Occasionally (once a week or less),Team sports,Mountains,Relaxing on the beach,"Learning a new language, Starting your own business, Running a marathon",None of the above,Prefer not to say,Athletic build,26–35,No preference,1,5,"Poor hygiene, Smoking, Excessive drinking"
Bonnie Sutton,21,Male,160 - 165 cm,Engineer,"Traveling, Cars/Motorbikes, Tv shows/Movies",Yes – Dog(s),Rock,John Smith,Horror/Thriller,Frequently (more than 3 times a week),I don't do any physical activities,"City breaks, Mountains",Hiking/Outdoor adventures,"Starting your own business, Learning a new language, Traveling to a new continent","Smoking, Regular alcohol consumption",Prefer not to say,"Natural look, Tall",36–45,No preference,4,5,"Excessive drinking, Disrespectful behavior, Smoking"
Vincent Mathis,21,Non-binary,155 - 160 cm,Artist,"Socializing, Cars/Motorbikes, Cooking/Baking",Yes – Dog(s),Classical,Rhonda Coffey,Drama,I’m not very active,I don't do any physical activities,"Seaside, City breaks",Relaxing on the beach,"Starting your own business, Traveling to a new continent, Skydiving or bungee jumping",Gambling,Female,"Stylish/Well-groomed, Tall",26–35,Moderately active,4,5,"Excessive drinking, Disrespectful behavior"
April Knight,42,Male,155 - 160 cm,Student,"Sports, Gym, Socializing, Playing musical instruments, Gaming",No,Classical,Lisa Reed,"Comedy, Romance",Occasionally (once a week or less),Team sports,"Adventure travel, No strong preference","Relaxing on the beach, Sightseeing/Cultural tours","Skydiving or bungee jumping, Traveling to a new continent, Starting your own business","Smoking, None of the above",Male,Stylish/Well-groomed,18–25,Moderately active,3,3,"Smoking, Poor hygiene"
Beth Rose,18,Non-binary,150 - 155 cm,Healthcare,"Cars/Motorbikes, Socializing, Reading, Gaming",Yes – Dog(s),"Manele, Jazz/Blues, Rock",Amy Long,"Horror/Thriller, Comedy, Drama",Occasionally (once a week or less),Yoga/Pilates,"Mountains, City breaks","Swimming/Water sports, Sightseeing/Cultural tours","Learning a new language, Traveling to a new continent","Smoking, Prefer not to say",It doesn't matter,"Stylish/Well-groomed, Tall",36–45,Highly active/Sporty,4,3,"None of the above, Lack of ambition"
Jeremy Jenkins Jr.,32,Male,155 - 160 cm,Healthcare,"Cooking/Baking, Sports, Socializing, Playing musical instruments, Reading",Yes – Dog(s),"Hip-Hop/Rap, Rock",Jon Swanson,"Romance, Action/Adventure, Drama",Frequently (more than 3 times a week),I don't do any physical activities,"Mountains, Seaside","Swimming/Water sports, Relaxing on the beach",Running a marathon,Prefer not to say,Prefer not to say,"Stylish/Well-groomed, Natural look",36–45,Highly active/Sporty,3,1,"Poor hygiene, Lack of ambition"
Christina Collins,21,Female,185 - 190 cm,Artist,"Music/Art, Gaming, Cooking/Baking, Gym, Traveling","No, but I would love to","Jazz/Blues, Hip-Hop/Rap",Crystal Hamilton,Science Fiction/Fantasy,Occasionally (once a week or less),"I don't do any physical activities, Swimming/Water sports",Adventure travel,Swimming/Water sports,Running a marathon,"Regular alcohol consumption, Smoking",Male,"Athletic build, Natural look",No preference,No preference,5,3,None of the above
Ashley Boyd,22,Prefer not to say,160 - 165 cm,Artist,"Playing musical instruments, Gaming, Reading, Traveling, Hiking",No,"Rock, Classical, Hip-Hop/Rap",Alexander Rose DVM,Science Fiction/Fantasy,I’m not very active,"Gym/Fitness classes, I don't do any physical activities",City breaks,"Relaxing on the beach, Sightseeing/Cultural tours","Starting your own business, Learning a new language, Skydiving or bungee jumping","Smoking, Gambling",Male,Stylish/Well-groomed,36–45,No preference,1,3,"Poor hygiene, Excessive drinking, None of the above"
Ashley Delacruz,29,Non-binary,180 - 185 cm,IT Professional,"Hiking, Gym",Yes – Cat(s),"Electronic, Classical, Jazz/Blues",Andre Freeman,Drama,Regularly (2–3 times a week),"Swimming/Water sports, Yoga/Pilates",City breaks,"Hiking/Outdoor adventures, Relaxing on the beach","Learning a new language, Running a marathon, Starting your own business","Smoking, Gambling",Female,"Natural look, Stylish/Well-groomed",No preference,Moderately active,1,4,Poor hygiene
Linda Mendoza,35,Female,160 - 165 cm,Other,"Sports, Socializing",Yes – Cat(s),"Electronic, Pop",Anna Werner,Romance,Occasionally (once a week or less),"Yoga/Pilates, Swimming/Water sports",Adventure travel,Swimming/Water sports,"Starting your own business, Running a marathon, Traveling to a new continent","Regular alcohol consumption, Prefer not to say",Female,Stylish/Well-groomed,46+,Highly active/Sporty,1,5,"None of the above, Poor hygiene"
Dustin Baker,39,Non-binary,150 - 155 cm,Healthcare,"Playing musical instruments, Reading, Tv shows/Movies, Music/Art",Yes – Multiple types,Hip-Hop/Rap,Brian Donaldson,"Drama, Romance, Horror/Thriller",Regularly (2–3 times a week),"Team sports, Running/Jogging",City breaks,Hiking/Outdoor adventures,"Traveling to a new continent, Starting your own business, Running a marathon","Gambling, None of the above",Male,Stylish/Well-groomed,46+,Highly active/Sporty,5,3,"Poor hygiene, Disrespectful behavior, Smoking"
